Date,Baltic_Dry_Index,Fuel_Price_USD,Port_Congestion_Days,USD_INR_Rate,Target_Freight_Cost_Per_Ton
2023-07-06,1122,548.21,1,85.18,30.01
2023-07-07,1400,792.41,11,83.94,58.43
2023-07-08,1766,577.04,3,85.37,35.98
2023-07-09,1293,546.11,5,83.3,37.98
2023-07-10,3327,668.71,3,83.73,57.7
2023-07-11,1197,818.14,10,86.59,52.42
2023-07-12,2930,798.03,3,83.45,56.88
2023-07-13,3191,521.95,10,84.35,62.28
2023-07-14,1608,682.06,3,86.45,41.3
2023-07-15,2147,708.97,5,85.54,49.64
2023-07-16,1186,757.82,5,82.31,39.05
2023-07-17,2794,760.07,4,82.74,56.27
2023-07-18,1659,645.88,1,82.04,34.63
2023-07-19,2955,724.27,5,85.15,60.08
2023-07-20,3450,692.42,10,84.24,66.54
2023-07-21,2369,854.0,5,82.67,58.87
2023-07-22,2986,712.11,4,86.79,58.08
2023-07-23,2534,676.41,6,84.65,55.5
2023-07-24,1146,661.79,10,83.21,41.99
2023-07-25,2734,728.97,4,84.5,54.55
2023-07-26,2843,821.59,7,85.4,65.88
2023-07-27,1488,715.36,7,82.38,45.8
2023-07-28,2959,764.66,2,83.37,53.37
2023-07-29,2663,795.14,3,86.03,53.71
2023-07-30,3385,708.07,1,84.3,56.46
2023-07-31,1640,670.73,8,84.73,46.82
2023-08-01,2802,850.67,9,84.16,69.51
2023-08-02,2969,667.0,4,82.22,55.57
2023-08-03,3198,684.78,6,82.83,60.41
2023-08-04,2438,896.14,9,84.23,62.16
2023-08-05,2634,500.1,6,83.05,51.31
2023-08-06,1262,574.19,9,82.25,44.27
2023-08-07,2787,653.59,4,86.22,51.89
2023-08-08,3191,873.04,8,86.91,65.63
2023-08-09,3393,528.01,9,85.97,64.09
2023-08-10,1623,503.79,4,86.27,36.97
2023-08-11,2016,521.07,5,83.21,43.96
2023-08-12,1880,535.42,8,86.8,50.78
2023-08-13,3049,515.04,10,82.98,60.89
2023-08-14,2327,691.91,6,86.76,52.0
2023-08-15,3301,732.3,7,86.97,63.18
2023-08-16,1452,608.67,3,85.56,36.66
2023-08-17,2183,659.31,7,86.91,52.43
2023-08-18,3056,536.68,8,84.85,58.77
2023-08-19,2682,634.55,10,83.3,64.3
2023-08-20,3255,709.01,6,84.18,63.82
2023-08-21,2154,792.91,10,84.97,60.06
2023-08-22,1403,501.34,9,82.37,41.16
2023-08-23,3199,686.92,6,85.11,62.13
2023-08-24,3101,618.8,9,86.91,61.26
2023-08-25,2696,841.13,4,82.95,58.55
2023-08-26,1627,786.22,8,85.96,52.83
2023-08-27,1586,735.64,11,86.54,54.0
2023-08-28,2648,610.91,4,86.72,49.55
2023-08-29,2443,864.14,2,86.8,48.98
2023-08-30,2445,518.04,10,84.61,57.28
2023-08-31,1103,543.79,11,86.89,44.65
2023-09-01,1253,656.65,9,85.79,46.58
2023-09-02,2496,549.78,5,82.81,45.83
2023-09-03,1098,882.57,4,84.38,46.22
2023-09-04,3200,819.2,2,85.59,58.65
2023-09-05,2884,603.59,1,83.24,47.87
2023-09-06,2919,735.42,11,85.2,65.61
2023-09-07,1877,892.93,7,85.33,52.48
2023-09-08,1337,853.68,6,82.81,50.3
2023-09-09,1956,740.32,2,84.83,47.34
2023-09-10,2704,861.49,8,85.86,64.55
2023-09-11,1160,895.67,11,84.49,53.61
2023-09-12,2603,797.34,4,82.06,55.2
2023-09-13,1397,525.99,8,82.05,41.05
2023-09-14,2300,660.63,7,83.79,50.92
2023-09-15,1815,835.13,5,86.63,50.12
2023-09-16,2527,592.23,10,83.14,58.34
2023-09-17,2919,832.26,10,85.17,71.19
2023-09-18,2415,548.14,8,83.11,52.62
2023-09-19,2158,518.78,9,83.61,47.49
2023-09-20,2218,653.64,5,86.24,50.0
2023-09-21,1400,514.69,10,85.64,43.93
2023-09-22,1639,882.91,5,82.48,53.12
2023-09-23,1459,830.48,2,84.14,45.36
2023-09-24,1954,820.31,5,82.15,54.58
2023-09-25,1469,751.91,3,84.4,40.62
2023-09-26,2045,586.53,7,85.31,52.53
2023-09-27,2693,707.3,10,82.59,63.85
2023-09-28,3085,738.91,5,83.44,63.77
2023-09-29,3277,710.01,8,83.99,65.07
2023-09-30,1562,604.09,1,86.6,34.65
2023-10-01,3485,706.1,3,86.97,61.08
2023-10-02,2799,696.47,3,82.22,53.69
2023-10-03,3074,898.53,9,85.81,73.71
2023-10-04,1225,858.97,5,83.86,45.05
2023-10-05,1797,685.35,9,83.96,54.36
2023-10-06,3331,749.17,9,85.77,70.75
2023-10-07,1959,799.15,1,86.59,44.64
2023-10-08,2504,513.95,2,86.75,44.77
2023-10-09,1452,857.97,5,84.89,46.81
2023-10-10,1815,844.05,4,83.79,54.17
2023-10-11,1658,682.97,10,85.94,46.74
2023-10-12,1546,656.47,9,83.26,50.0
2023-10-13,2215,609.18,7,84.82,47.4
2023-10-14,1016,690.67,6,83.79,39.43
2023-10-15,2243,517.75,7,85.28,48.29
2023-10-16,3205,840.88,1,83.2,61.79
2023-10-17,2069,514.17,1,82.96,36.23
2023-10-18,3146,631.62,8,86.59,65.02
2023-10-19,2768,872.64,2,82.51,54.5
2023-10-20,2060,794.09,10,84.53,62.12
2023-10-21,3327,612.56,11,83.1,67.2
2023-10-22,1301,601.06,9,82.19,44.69
2023-10-23,1180,502.03,7,82.18,36.69
2023-10-24,1606,778.29,6,82.88,50.97
2023-10-25,1699,519.51,1,86.33,36.25
2023-10-26,1992,713.04,1,83.41,43.7
2023-10-27,2139,884.85,2,86.75,48.63
2023-10-28,1190,543.79,6,84.91,35.78
2023-10-29,3300,857.79,6,84.18,65.68
2023-10-30,1980,896.59,2,84.9,45.2
2023-10-31,3006,524.61,1,84.58,49.82
2023-11-01,2184,853.16,10,85.79,61.78
2023-11-02,1127,706.43,5,83.41,39.29
2023-11-03,3065,862.61,5,83.77,67.02
2023-11-04,2816,728.53,2,86.47,52.06
2023-11-05,2758,764.84,6,86.73,57.84
2023-11-06,1569,717.51,9,86.46,50.27
2023-11-07,2346,845.8,2,84.1,49.57
2023-11-08,2895,793.56,10,85.9,68.45
2023-11-09,1625,708.5,2,84.38,39.76
2023-11-10,2686,847.26,3,84.49,55.76
2023-11-11,1154,598.11,7,83.02,38.8
2023-11-12,2409,562.94,6,84.96,49.77
2023-11-13,1784,564.16,8,82.93,46.93
2023-11-14,1245,633.6,8,83.66,42.42
2023-11-15,2500,595.48,6,86.28,51.15
2023-11-16,2705,872.04,11,83.04,69.55
2023-11-17,1537,542.33,10,82.36,46.28
2023-11-18,2890,779.6,3,82.35,56.85
2023-11-19,2841,575.69,3,86.7,48.83
2023-11-20,1920,852.65,1,84.53,48.29
2023-11-21,3455,884.53,7,84.05,71.78
2023-11-22,1524,686.19,5,86.05,42.32
2023-11-23,2529,851.63,4,86.18,57.53
2023-11-24,1035,502.06,10,83.66,40.26
2023-11-25,1684,827.98,4,85.47,44.21
2023-11-26,1019,591.45,4,85.86,34.62
2023-11-27,3368,863.48,6,85.27,66.55
2023-11-28,1399,500.45,8,82.76,42.87
2023-11-29,1971,722.47,8,86.38,52.9
2023-11-30,2906,802.65,5,84.7,62.2
2023-12-01,2166,603.48,6,83.41,47.5
2023-12-02,2115,577.25,4,84.13,44.61
2023-12-03,1833,533.64,11,82.19,53.26
2023-12-04,2823,630.57,9,82.64,60.11
2023-12-05,2982,723.94,8,85.83,62.36
2023-12-06,1853,546.34,10,82.0,51.23
2023-12-07,1050,650.68,10,84.08,46.29
2023-12-08,1574,503.63,1,84.61,31.25
2023-12-09,2148,827.47,2,82.27,45.33
2023-12-10,3197,551.38,9,86.87,60.79
2023-12-11,3361,613.34,8,83.13,65.36
2023-12-12,3352,507.37,3,83.52,51.69
2023-12-13,2715,672.9,8,83.52,59.32
2023-12-14,1681,836.05,1,83.15,42.08
2023-12-15,1837,656.86,10,82.01,49.21
2023-12-16,2077,571.8,4,85.65,42.57
2023-12-17,3491,801.48,3,86.83,64.8
2023-12-18,3311,815.52,6,83.12,61.84
2023-12-19,2595,569.5,7,85.32,54.04
2023-12-20,1004,808.34,4,85.71,37.92
2023-12-21,2126,878.92,7,86.24,59.34
2023-12-22,2219,566.55,9,84.11,54.12
2023-12-23,1773,808.39,11,83.51,58.14
2023-12-24,1876,783.43,2,83.63,44.92
2023-12-25,1991,689.43,11,85.56,55.48
2023-12-26,1046,523.17,3,86.08,27.96
2023-12-27,1268,529.88,5,82.91,39.47
2023-12-28,1369,840.97,3,83.85,41.69
2023-12-29,1635,896.06,11,86.51,62.87
2023-12-30,2129,770.42,8,86.03,54.68
2023-12-31,2693,678.38,10,86.92,63.33
2024-01-01,2682,759.03,8,85.77,59.32
2024-01-02,1656,737.76,8,83.97,51.74
2024-01-03,1119,653.44,9,84.95,43.64
2024-01-04,1830,526.25,4,85.31,39.46
2024-01-05,2810,828.61,5,82.39,61.68
2024-01-06,2081,648.73,5,84.72,46.83
2024-01-07,2974,827.51,8,85.55,63.71
2024-01-08,2369,601.0,7,82.84,53.74
2024-01-09,1740,500.41,9,85.9,43.62
2024-01-10,1116,563.58,8,84.92,41.1
2024-01-11,2853,687.42,2,86.76,54.1
2024-01-12,2150,877.72,10,82.21,62.08
2024-01-13,2931,540.88,4,83.33,53.9
2024-01-14,2012,841.68,6,85.01,55.33
2024-01-15,2664,710.81,2,83.48,49.57
2024-01-16,2081,830.37,7,85.57,59.02
2024-01-17,1633,619.35,3,85.8,37.13
2024-01-18,1512,835.98,3,82.51,43.95
2024-01-19,2119,809.13,11,84.57,61.55
2024-01-20,2141,592.02,2,84.54,43.38
2024-01-21,1559,552.53,11,83.85,50.9
2024-01-22,1487,847.22,8,86.66,54.39
2024-01-23,1896,885.29,6,86.14,54.97
2024-01-24,2212,512.52,1,85.49,38.44
2024-01-25,1703,792.51,1,85.57,38.65
2024-01-26,2470,863.81,7,84.31,58.49
2024-01-27,1580,842.94,8,86.6,56.62
2024-01-28,3294,885.81,5,85.47,63.34
2024-01-29,1153,804.04,11,85.64,50.58
2024-01-30,2679,676.92,5,86.31,56.89
2024-01-31,1996,624.78,4,83.37,45.12
2024-02-01,2243,628.3,6,86.04,52.14
2024-02-02,2092,789.77,6,82.98,54.7
2024-02-03,2008,798.33,3,83.73,51.47
2024-02-04,3141,580.14,9,83.68,62.91
2024-02-05,2773,847.25,11,86.89,70.97
2024-02-06,1957,785.97,7,86.28,52.2
2024-02-07,1452,725.1,1,85.51,38.95
2024-02-08,2227,688.61,7,85.64,52.64
2024-02-09,3265,717.29,5,84.81,60.76
2024-02-10,3479,563.7,5,86.74,60.99
2024-02-11,3388,581.48,2,84.48,56.13
2024-02-12,1550,536.47,4,83.9,40.97
2024-02-13,2635,561.46,6,82.82,55.44
2024-02-14,2312,681.48,10,85.93,60.4
2024-02-15,2757,712.14,11,85.67,61.99
2024-02-16,1356,507.14,7,83.92,42.93
2024-02-17,3070,818.72,11,82.13,73.6
2024-02-18,2785,617.67,5,86.19,52.35
2024-02-19,2781,864.73,9,82.06,68.71
2024-02-20,3489,887.0,3,85.52,63.93
2024-02-21,2631,574.18,1,86.85,46.27
2024-02-22,2015,684.84,4,84.19,44.06
2024-02-23,2348,500.49,9,83.17,50.38
2024-02-24,1515,739.33,4,85.52,44.75
2024-02-25,1335,742.92,2,86.09,40.78
2024-02-26,2782,599.02,10,84.73,61.44
2024-02-27,3305,723.37,5,86.84,61.68
2024-02-28,1496,590.22,3,82.26,32.94
2024-02-29,1895,564.33,9,84.52,48.96
2024-03-01,3207,760.61,4,85.59,61.96
2024-03-02,1851,630.37,6,86.31,45.79
2024-03-03,2687,736.11,2,82.9,51.91
2024-03-04,2931,673.3,6,86.0,58.14
2024-03-05,3427,893.74,3,84.76,64.94
2024-03-06,2568,559.83,9,83.98,56.13
2024-03-07,1956,685.84,11,82.66,56.09
2024-03-08,2636,772.18,2,86.33,55.41
2024-03-09,2291,658.22,9,82.79,51.74
2024-03-10,2440,889.88,5,83.55,57.5
2024-03-11,2191,788.76,8,83.45,55.83
2024-03-12,2066,762.79,2,86.36,46.98
2024-03-13,1284,802.82,6,85.36,46.08
2024-03-14,3444,881.06,3,85.98,68.62
2024-03-15,1011,863.13,10,83.25,54.91
2024-03-16,2630,789.71,5,85.12,55.95
2024-03-17,1753,799.66,8,84.86,53.52
2024-03-18,3082,558.37,10,86.16,62.96
2024-03-19,1089,541.12,1,86.53,27.03
2024-03-20,1775,728.36,5,82.06,48.36
2024-03-21,2625,507.35,3,85.37,45.49
2024-03-22,1417,692.94,4,82.26,38.82
2024-03-23,1114,584.14,2,84.74,31.11
2024-03-24,1616,638.41,9,83.44,46.82
2024-03-25,1825,810.32,3,83.53,49.13
2024-03-26,2649,876.5,2,83.76,59.59
2024-03-27,2516,528.97,10,85.11,56.52
2024-03-28,1412,713.7,11,83.67,52.25
2024-03-29,1728,853.01,9,85.66,56.68
2024-03-30,1675,533.0,7,84.02,45.6
2024-03-31,2892,829.81,6,82.34,65.14
2024-04-01,3239,643.12,1,85.92,52.95
2024-04-02,2122,628.84,5,83.43,48.09
2024-04-03,2571,890.99,11,84.16,70.24
2024-04-04,1977,580.34,11,85.43,51.4
2024-04-05,2008,777.28,3,83.66,50.32
2024-04-06,3143,828.58,1,82.28,61.26
2024-04-07,2687,516.47,4,83.87,50.69
2024-04-08,1036,768.15,2,86.72,33.91
2024-04-09,2548,880.62,2,85.21,50.96
2024-04-10,3326,549.69,3,85.36,55.67
2024-04-11,3264,858.49,8,85.16,68.87
2024-04-12,1872,737.91,8,82.99,53.43
2024-04-13,2821,746.64,7,84.09,64.18
2024-04-14,2296,745.18,6,85.75,53.0
2024-04-15,3109,619.53,9,82.51,62.42
2024-04-16,1595,874.08,4,83.39,48.73
2024-04-17,2903,878.94,1,83.38,54.3
2024-04-18,1728,750.12,8,84.16,50.27
2024-04-19,2365,813.37,7,86.9,58.6
2024-04-20,1396,744.9,7,82.34,46.21
2024-04-21,1698,693.76,3,84.59,43.51
2024-04-22,3224,764.33,4,82.9,66.7
2024-04-23,2635,721.2,10,86.85,63.18
2024-04-24,1395,738.99,9,82.57,47.94
2024-04-25,3492,813.53,6,84.02,71.16
2024-04-26,1075,692.36,5,85.69,35.84
2024-04-27,1264,516.3,3,85.52,29.85
2024-04-28,2819,565.6,9,84.11,57.47
2024-04-29,1717,675.44,5,83.73,44.37
2024-04-30,1850,789.93,5,83.99,48.46
2024-05-01,2390,737.31,4,83.32,51.96
2024-05-02,1143,760.12,4,83.03,40.78
2024-05-03,1884,691.71,1,84.42,43.23
2024-05-04,1395,746.3,7,83.34,47.02
2024-05-05,2492,631.61,9,83.44,56.24
2024-05-06,2167,688.07,3,85.28,48.84
2024-05-07,2062,797.71,2,86.84,45.92
2024-05-08,3156,848.73,3,85.02,58.26
2024-05-09,2065,673.46,1,82.38,44.77
2024-05-10,2209,517.46,6,82.38,48.9
2024-05-11,3445,564.67,11,86.76,66.31
2024-05-12,1633,508.34,11,83.49,47.28
2024-05-13,2156,761.31,7,82.46,53.07
2024-05-14,2238,632.93,11,85.0,58.52
2024-05-15,1732,716.99,11,85.12,58.79
2024-05-16,1234,697.31,2,85.24,37.67
2024-05-17,1750,532.61,8,83.34,47.55
2024-05-18,1953,661.3,6,82.08,50.01
2024-05-19,2542,588.22,4,86.83,49.07
2024-05-20,2197,667.36,5,83.25,51.66
2024-05-21,2676,581.43,8,85.38,57.69
2024-05-22,2191,836.18,3,85.53,54.37
2024-05-23,3217,569.68,3,85.05,52.84
2024-05-24,2416,884.31,11,83.56,63.71
2024-05-25,2217,666.36,4,83.36,50.25
2024-05-26,2540,838.5,1,84.99,52.75
2024-05-27,3076,751.51,9,86.33,66.21
2024-05-28,2445,794.14,8,86.73,59.79
2024-05-29,3386,807.09,8,82.53,75.18
2024-05-30,2519,701.94,10,82.77,59.96
2024-05-31,2388,717.32,6,86.72,52.69
2024-06-01,2856,705.6,7,85.68,60.4
2024-06-02,2365,735.22,6,86.41,57.07
2024-06-03,1499,511.76,9,83.01,48.4
2024-06-04,2680,658.21,3,84.94,52.36
2024-06-05,1510,742.48,3,85.51,39.33
2024-06-06,1216,739.09,3,85.4,42.77
2024-06-07,2324,817.18,10,84.04,62.72
2024-06-08,2155,762.0,3,82.08,47.23
2024-06-09,2827,896.85,9,84.91,66.52
2024-06-10,2810,613.54,4,83.27,54.18
2024-06-11,3492,643.66,7,84.25,65.21
2024-06-12,2205,653.54,9,86.79,55.85
2024-06-13,3214,686.33,11,84.0,71.8
2024-06-14,1090,834.4,7,86.2,44.83
2024-06-15,1713,594.32,9,82.94,51.19
2024-06-16,2881,810.4,3,85.36,56.58
2024-06-17,1038,662.12,4,86.89,40.57
2024-06-18,1172,740.74,8,82.51,47.14
2024-06-19,1652,753.02,6,82.04,46.27
2024-06-20,1753,649.14,5,84.17,40.45
2024-06-21,2243,705.05,4,82.46,51.2
2024-06-22,2081,665.21,8,85.74,52.02
2024-06-23,2683,527.65,1,86.57,43.85
2024-06-24,1455,674.87,9,84.17,49.83
2024-06-25,1828,538.96,1,83.29,37.97
2024-06-26,1894,662.01,8,84.17,53.25
2024-06-27,2384,737.17,4,85.62,49.61
2024-06-28,2958,731.77,9,82.05,67.88
2024-06-29,3434,765.05,11,84.95,72.63
2024-06-30,2996,538.1,5,85.07,49.09
2024-07-01,3395,760.85,3,85.19,58.92
2024-07-02,1189,624.86,9,83.21,44.57
2024-07-03,1504,659.62,11,85.57,49.37
2024-07-04,2214,843.19,9,82.46,60.76
2024-07-05,2531,503.61,4,83.0,47.09
2024-07-06,1823,735.37,11,86.39,56.43
2024-07-07,1928,739.49,4,85.69,46.48
2024-07-08,1933,658.66,8,82.07,48.59
2024-07-09,2140,594.81,2,83.24,42.29
2024-07-10,1133,593.87,9,83.07,38.52
2024-07-11,3105,853.48,6,83.35,64.28
2024-07-12,1684,676.81,9,83.24,48.79
2024-07-13,3220,632.36,8,82.31,62.69
2024-07-14,2852,679.51,7,84.29,58.98
2024-07-15,1814,767.76,1,85.66,44.59
2024-07-16,2172,558.3,3,85.03,46.14
2024-07-17,1079,679.77,11,85.36,45.45
2024-07-18,1202,735.15,2,82.41,41.06
2024-07-19,2252,879.43,5,86.76,54.84
2024-07-20,2699,601.01,5,86.19,52.87
2024-07-21,2250,643.7,5,86.03,50.33
2024-07-22,2682,651.74,4,86.11,57.26
2024-07-23,2555,742.22,5,86.66,54.23
2024-07-24,3094,642.69,3,84.72,51.13
2024-07-25,2256,713.4,1,83.0,48.44
2024-07-26,2549,812.72,5,85.08,55.7
2024-07-27,2166,782.15,9,85.71,57.9
2024-07-28,2396,678.55,9,85.69,55.58
2024-07-29,1470,845.69,4,84.61,45.35
2024-07-30,2035,723.26,3,82.34,44.87
